Three independent Ar reservoirs with Cu nanoparticles

65478 atoms
7 atom types

-3.61500000 288.61500000 xlo xhi
-47.50000000 47.50000000 ylo yhi
-47.50000000 47.50000000 zlo zhi

Masses

1 39.948  # Ar reservoir 1
2 39.948  # Ar reservoir 2
3 39.948  # Ar reservoir 3
4 63.546  # Cu nanoparticle 1
5 63.546  # Cu nanoparticle 2
6 63.546  # Cu nanoparticle 3
7 63.546  # fixed Cu walls

Atoms # atomic

354 7 -3.61500000 -34.84750000 -16.77250000
355 7 -3.61500000 -36.65500000 -14.96500000
356 7 -1.80750000 -34.84750000 -14.96500000
357 7 -1.80750000 -36.65500000 -13.15750000
358 7 -3.61500000 -34.84750000 -13.15750000
359 7 -3.61500000 -36.65500000 -11.35000000
360 7 -1.80750000 -34.84750000 -11.35000000
361 7 -1.80750000 -36.65500000 -9.54250000
362 7 -3.61500000 -34.84750000 -9.54250000
363 7 -3.61500000 -36.65500000 -7.73500000
364 7 -1.80750000 -34.84750000 -7.73500000
365 7 -1.80750000 -36.65500000 -5.92750000
366 7 -3.61500000 -34.84750000 -5.92750000
367 7 -3.61500000 -36.65500000 -4.12000000
368 7 -1.80750000 -34.84750000 -4.12000000
369 7 -1.80750000 -36.65500000 -2.31250000
370 7 -3.61500000 -34.84750000 -2.31250000
371 7 -3.61500000 -36.65500000 -0.50500000
372 7 -1.80750000 -34.84750000 -0.50500000
373 7 -1.80750000 -36.65500000 1.30250000
374 7 -3.61500000 -34.84750000 1.30250000
375 7 -3.61500000 -36.65500000 3.11000000
376 7 -1.80750000 -34.84750000 3.11000000
377 7 -1.80750000 -36.65500000 4.91750000
378 7 -3.61500000 -34.84750000 4.91750000
379 7 -3.61500000 -36.65500000 6.72500000
380 7 -1.80750000 -34.84750000 6.72500000
381 7 -1.80750000 -36.65500000 8.53250000
382 7 -3.61500000 -34.84750000 8.53250000
383 7 -3.61500000 -36.65500000 10.34000000
384 7 -1.80750000 -34.84750000 10.34000000
385 7 -1.80750000 -36.65500000 12.14750000
386 7 -3.61500000 -34.84750000 12.14750000
387 7 -3.61500000 -36.65500000 13.95500000
388 7 -1.80750000 -34.84750000 13.95500000
389 7 -1.80750000 -36.65500000 15.76250000
390 7 -3.61500000 -34.84750000 15.76250000
391 7 -3.61500000 -36.65500000 17.57000000
392 7 -1.80750000 -34.84750000 17.57000000
393 7 -1.80750000 -36.65500000 19.37750000
394 7 -3.61500000 -34.84750000 19.37750000
395 7 -3.61500000 -36.65500000 21.18500000
396 7 -1.80750000 -34.84750000 21.18500000
397 7 -1.80750000 -36.65500000 22.99250000
