time_ps,Tar1,Tar2,Tar3,Tnp1_analytic,Tnp2_analytic,Tnp3_analytic
2511.0,115.22148160152983,110.30110803897746,111.81712603383542,115.51520503761984,110.6416185259959,112.16812702572697
2512.0,115.22280259634184,110.31242513685935,111.8044879411415,115.51658889553106,110.65276913950004,112.1555925543116
2513.0,115.22405768985774,110.32376858730328,111.79188939718163,115.51790751769751,110.66394616164594,112.14309690999922
2514.0,115.22524698335113,110.33513807974012,111.77933061125138,115.51916100263253,110.67514928554847,112.13064030116162
2515.0,115.22637057939622,110.34653330361908,111.76681179132729,115.52034945014044,110.68637820433224,112.11822293486989
2516.0,115.22742858186295,110.35795394841482,111.75433314406479,115.52147296131172,110.69763261113859,112.10584501689225
2517.0,115.22842109591207,110.3693997036344,111.74189487479606,115.52253163851809,110.70891219913256,112.09350675169189
2518.0,115.22934822799017,110.38087025882437,111.72949718752795,115.52352558540774,110.72021666150974,112.08120834242501
2519.0,115.23021008582474,110.39236530357773,111.71714028494,115.52445490690039,110.73154569150341,112.06894999093865
2520.0,115.23100677841919,110.40388452754092,111.70482436838233,115.52531970918245,110.74289898239128,112.0567318977687
2521.0,115.23173841604783,110.4154276204208,111.69254963787378,115.52612009970203,110.75427622750244,112.04455426213794
2522.0,115.2324051102509,110.4269942719916,111.68031629209989,115.52685618716406,110.76567712022432,112.03241728195401
2523.0,115.23300697382946,110.43858417210187,111.66812452841104,115.52752808152532,110.77710135400946,112.0203211538076
2524.0,115.2335441208404,110.45019701068136,111.65597454282057,115.52813589398944,110.78854862238241,112.00826607297046
2525.0,115.23401666659133,110.46183247774803,111.64386653000297,115.52867973700198,110.8000186189467,111.99625223339365
2526.0,115.23442472763546,110.47349026341482,111.63180068329203,115.52915972424529,110.81151103739141,111.98427982770559
2527.0,115.23476842176656,110.48517005789661,111.61977719467912,115.52957597063363,110.82302557149825,111.97234904721041
2528.0,115.23504786801377,110.49687155151706,111.60779625481143,115.529928592308,110.83456191514816,111.9604600818861
2529.0,115.23526318663647,110.50859443471546,111.59585805299031,115.53021770663113,110.84611976232826,111.94861312038283
2530.0,115.23541449911912,110.52033839805355,111.58396277716955,115.53044343218245,110.85769880713846,111.9368083500213
2531.0,115.23550192816604,110.53210313222235,111.5721106139538,115.53060588875285,110.86929874379834,111.92504595679101
2532.0,115.2355255976963,110.54388832804892,111.56030174859694,115.53070519733966,110.8809192666538,111.91332612534869
2533.0,115.23548563283836,110.55569367650321,111.54853636500057,115.5307414801415,110.89256007018385,111.90164903901679
2534.0,115.23538215992497,110.56751886870474,111.53681464571243,115.53071486055316,110.90422084900722,111.89001487978175
2535.0,115.2352153064878,110.57936359592942,111.52513677192489,115.5306254631603,110.91590129788916,111.87842382829264
2536.0,115.23498520125229,110.59122754961624,111.51350292347357,115.53047341373446,110.927601111748,111.86687606385962
2537.0,115.23469197413225,110.60311042137398,111.50191327883584,115.53025883922761,110.93931998566194,111.85537176445253
2538.0,115.23433575622461,110.61501190298794,111.49036801512949,115.52998186776718,110.9510576148755,111.84391110669935
2539.0,115.23391667980411,110.62693168642662,111.4788673081113,115.52964262865065,110.96281369480633,111.83249426588503
2540.0,115.23343487831794,110.6388694638483,111.46741133217577,115.52924125234037,110.97458792105171,111.82112141594992
2541.0,115.23289048638038,110.6508249276078,111.4560002603538,115.52877787045828,110.98637998939512,111.80979272948858
2542.0,115.23228363976746,110.66279777026304,111.44463426431147,115.5282526157806,110.99818959581289,111.79850837774849
2543.0,115.23161447541153,110.67478768458166,111.43331351434877,115.5276656222325,111.01001643648068,111.78726853062878
2544.0,115.23088313139593,110.6867943635476,111.42203817939841,115.52701702488295,111.02186020778002,111.77607335667896
2545.0,115.23008974694947,110.69881750036772,111.41080842702472,115.5263069599391,111.03372060630493,111.76492302309788
2546.0,115.22923446244111,110.71085678847831,111.39962442342247,115.52553556474123,111.04559732886823,111.75381769573244
2547.0,115.22831741937443,110.72291192155163,111.38848633341581,115.52470297775714,111.0574900725082,111.7427575390765
2548.0,115.22733876038221,110.73498259350245,111.3773943204572,115.52380933857697,111.06939853449495,111.73174271626992
2549.0,115.22629862922092,110.74706849849456,111.36634854662637,115.52285478790765,111.0813224123369,111.72077338909729
2550.0,115.22519717076527,110.75916933094717,111.35534917262939,115.52183946756757,111.09326140378714,111.70984971798711
2551.0,115.22403453100266,110.77128478554152,111.34439635779763,115.52076352048114,111.10521520684996,111.6989718620107
2552.0,115.2228108570277,110.78341455722719,111.33349026008692,115.51962709067337,111.11718351978713,111.6881399788813
2553.0,115.22152629703663,110.79555834122858,111.32263103607659,115.51843032326435,111.12916604112434,111.67735422495309
2554.0,115.2201810003218,110.80771583305133,111.31181884096864,115.5171733644639,111.14116246965747,111.66661475522037
2555.0,115.2187751172661,110.8198867284887,111.30105382858696,115.51585636156598,111.15317250445909,111.65592172331668
2556.0,115.21730879933739,110.83207072362791,111.29033615137645,115.51447946294321,111.16519584488456,111.64527528151396
2557.0,115.21578219908287,110.84426751485651,111.27966596040235,115.51304281804144,111.17723219057848,111.6346755807218
2558.0,115.21419547012351,110.85647679886874,111.26904340534946,115.5115465773741,111.18928124148094,111.62412277048666
2559.0,115.21254876714846,110.86869827267179,111.25846863452145,115.50999089251685,111.20134269783375,111.6136169989911
2560.0,115.21084224590933,110.88093163359214,111.24794179484023,115.50837591610183,111.21341626018668,111.60315841305321
2561.0,115.20907606321462,110.89317657928177,111.2374630318453,115.50670180181217,111.22550162940368,111.59274715812585
2562.0,115.20725037692404,110.90543280772447,111.22703248969317,115.50496870437647,111.23759850666913,111.58238337829606
2563.0,115.20536534594281,110.91770001724204,111.2166503111568,115.5031767795632,111.24970659349398,111.57206721628447
2564.0,115.20342113021604,110.92997790650054,111.20631663762505,115.50132618417503,111.2618255917219,111.56179881344471
2565.0,115.201417890723,110.94226617451642,111.1960316091022,115.49941707604324,111.27395520353545,111.55157830976292
2566.0,115.19935578947135,110.95456452066273,111.18579536420752,115.49744961402217,111.28609513146218,111.54140584385725
2567.0,115.19723498949155,110.96687264467529,111.17560804017475,115.49542395798348,111.29824507838075,111.53128155297736
2568.0,115.195055654831,110.97919024665877,111.16546977285181,115.49334026881053,111.310404747527,111.52120557300404
2569.0,115.19281795054836,110.99151702709287,111.15538069670035,115.49119870839276,111.32257384250006,111.51117803844875
2570.0,115.19052204270781,111.00385268683831,111.14534094479545,115.48899943961999,111.33475206726828,111.50119908245328
2571.0,115.18816809837323,111.016196927143,111.13535064882534,115.48674262637672,111.34693912617536,111.49126883678949
2572.0,115.18575628560244,111.02854944964804,111.12540993909107,115.48442843353642,111.35913472394633,111.48138743185879
2573.0,115.18328677344144,111.04090995639373,111.11551894450636,115.4820570269559,111.37133856569345,111.47155499669219
2574.0,115.18075973191857,111.05327814982564,111.10567779259732,115.47962857346948,111.38355035692233,111.46177165894973
