time_ps,Tar1,Tar2,Tar3,Tnp1_analytic,Tnp2_analytic,Tnp3_analytic
489.0,73.1186061083953,103.02224606366634,89.31448669336224,73.58621590359229,103.1765949402805,89.46781731027465
490.0,73.09530702328712,102.96242837422584,89.39262072806594,73.56270069381401,103.11772346938652,89.54520669850393
491.0,73.0724219846077,102.90241574232898,89.47059731109577,73.53959524244253,103.05865759287131,89.62244256630802
492.0,73.04995044688583,102.84220966930769,89.54841472375651,73.51689901674997,102.99939878868923,89.69952320339789
493.0,73.02789185940549,102.78181166105304,89.62607125747729,73.49461147884517,102.93994853939726,89.77644690951165
494.0,73.00624566619021,102.72122322793349,89.70356521379219,73.47273208565731,102.88030833207353,89.85321199439484
495.0,72.98501130598822,102.66044588471364,89.78089490432099,73.4512602889206,102.82047965823642,89.92981677778124
496.0,72.9641882122581,102.59948115047351,89.85805865075035,73.43019553515931,102.76046401376422,90.00625958937384
497.0,72.94377581315504,102.5383305485284,89.93505478481516,73.40953726567359,102.70026289881527,90.08253876882615
498.0,72.92377353151784,102.4769956063492,90.01188164828021,73.38928491652571,102.63987781774853,90.15865266572372
499.0,72.90418078485631,102.41547785548322,90.08853759292204,73.36943791852705,102.57931027904495,90.23459963956597
500.0,72.88499698533944,102.35377883147557,90.16502098051117,73.3499956972257,102.51856179522898,90.31037805974827
501.0,72.86622153978408,102.29190007379104,90.24133018279447,73.33095767289446,102.45763388279087,90.38598630554425
502.0,72.84785384964414,102.22984312573644,90.31746358147781,73.31232326051962,102.39652806210937,90.46142276608839
503.0,72.82989331100052,102.16760953438347,90.39341956820898,73.29409186979026,102.33524585737484,90.53668584035881
504.0,72.81233931455145,102.10520085049211,90.46919654456079,73.27626290508807,102.27378879651306,90.61177393716038
505.0,72.79519124560349,102.0426186284344,90.5447929220144,73.2588357654777,102.2121584111093,90.68668547510791
506.0,72.77844848406306,101.97986442611881,90.62020712194293,73.24180984469785,102.15035623633298,90.76141888260969
507.0,72.7621104044285,101.91693980491503,90.69543757559525,73.2251845311527,102.0883838108629,90.83597259785131
