time,T1_rk4,T2_rk4,T3_rk4,T1_exact,T2_exact,T3_exact,dT1,dT2,dT3
100.2,0.3898958064238011,0.3975502111675816,0.38676470892059844,0.3898958067321932,0.39755021023967374,0.38676471038872645,-3.083920896429504e-10,9.279078616586389e-10,-1.4681280080530712e-09
100.4,0.38973680522637577,0.397545506013057,0.38692841527254823,0.3897368055729745,0.39754550507496306,0.3869284167126558,-3.465987497008882e-10,9.380939358649698e-10,-1.440107588734918e-09
100.60000000000001,0.3895819131691617,0.3975356834449452,0.38709312989787403,0.38958191355341615,0.3975356824978016,0.38709313130937567,-3.842544615828558e-10,9.471436412944456e-10,-1.4115016377935774e-09
100.8,0.3894311915767063,0.39752083863289855,0.3872586963023761,0.38943119199804144,0.39752083767783447,0.38725869768471755,-4.213351334492188e-10,9.55064083374424e-10,-1.382341463518344e-09
101.0,0.38928469720366693,0.3975010693810557,0.3874249599272583,0.3892846976614845,0.39750106841919214,0.38742496127991677,-4.5781756163876253e-10,9.618635887775895e-10,-1.3526584852208146e-09
101.2,0.3891424822643504,0.39747647600056507,0.38759176824706554,0.38914248275802965,0.39747647503301403,0.3875917695695497,-4.936792641352383e-10,9.675510392881392e-10,-1.3224841777237373e-09
101.4,0.3890045944655925,0.39744716118215045,0.3877589708642381,0.38900459499449114,0.39744716021001414,0.3877589721560882,-5.288986471008172e-10,9.721363158909924e-10,-1.2918500713610115e-09
101.60000000000001,0.3888710770428941,0.39741322986882593,0.3879264196002611,0.3888710776063489,0.397413228893196,0.3879264208610485,-5.634548383426363e-10,9.756299101937316e-10,-1.2607874189107804e-09
101.8,0.38874196879972744,0.3973747891288658,0.3880939685833879,0.38874196939705524,0.39737478815082267,0.3880939698127155,-5.973277983351011e-10,9.78043146471208e-10,-1.2293275841734896e-09
102.0,0.38861730414992557,0.3973319480291316,0.3882614743329241,0.388617304780424,0.3973319470497435,0.3882614755304259,-6.30498431242188e-10,9.79388070643239e-10,-1.1975018199272824e-09
102.2,0.3884971131630668,0.3972848175088583,0.3884287958400562,0.38849711382601515,0.3972848165291807,0.38842879700539756,-6.629483628728394e-10,9.796776168080612e-10,-1.165341378950302e-09
102.4,0.3883814216127651,0.3972335102539982,0.388595794645218,0.3883814223074252,0.3972335092750729,0.3885957957780954,-6.946600517032664e-10,9.789253296865752e-10,-1.132877402998389e-09
102.60000000000001,0.3882702510277756,0.39717814057221956,0.388762334911986,0.38827025175339275,0.39717813959507414,0.3887623360121265,-7.256171219438556e-10,9.771454201334961e-10,-1.1001405342270232e-09
102.8,0.3881636187458259,0.3971188242686547,0.3889282834975008,0.3881636195016294,0.3971188232943017,0.38892828456466233,-7.558035308719013e-10,9.74352987181959e-10,-1.0671615258139866e-09
103.0,0.38806153797007814,0.3970556785224892,0.389093510019414,0.38806153875528243,0.3970556775519259,0.3890935110533851,-7.85204290476571e-10,9.705632963985522e-10,-1.0339710754259102e-09
103.2,0.3879640178281331,0.3969888217644846,0.3892578869193635,0.3879640186419387,0.39698882079869174,0.38925788791996296,-8.138055784812082e-10,9.657928345951916e-10,-1.0005994366402149e-09
103.4,0.38787106343348127,0.39691837355551884,0.3894212895229811,0.3878710642750752,0.39691837259546064,0.38942129049005764,-8.415939056760635e-10,9.600581996060953e-10,-9.670765299674144e-10
103.60000000000001,0.3877826759493064,0.3968444544662336,0.38958359609644116,0.38778267681786344,0.3968444535128567,0.38958359702987333,-8.685570596078662e-10,9.533769329550523e-10,-9.3343216489572e-10
103.8,0.3876988526545507,0.3967671859578689,0.38974468789956146,0.387698853549234,0.396767185012102,0.3897446887992574,-8.946833274237065e-10,9.457669092327592e-10,-8.996959288687378e-10
104.0,0.387619587012144,0.39668669026436715,0.38990444923546996,0.3876195879321061,0.3966866893271205,0.3899044501013668,-9.199621064936991e-10,9.372466691637271e-10,-8.658968542185619e-10
104.2,0.38754486873930477,0.39660309027582413,0.39006276749685215,0.38754486968368834,0.3966030893479888,0.39006276832891623,-9.443835713440762e-10,9.278353085839797e-10,-8.320640842995886e-10
104.4,0.38747468387981715,0.3965165094233633,0.39021953320880054,0.38747468484775605,0.39651650850581094,0.39021953400702647,-9.67938895701792e-10,9.175523674187502e-10,-7.982259297989458e-10
104.60000000000001,0.3874090148781902,0.3964270715655058,0.3903746400682851,0.38740901586880994,0.39642707065908794,0.3903746408326955,-9.906197528941618e-10,9.064178296824821e-10,-7.644104238480054e-10
104.8,0.38734784065560324,0.3963349008761076,0.39052798498027014,0.3873478416680223,0.3963348999816556,0.39052798571091557,-1.012419037493828e-09,8.944520124565258e-10,-7.306454330446854e-10
105.0,0.38729113668754467,0.39624012173393264,0.3906794680905038,0.3872911377208747,0.39624012085225674,0.39067946878746196,-1.0333300326514916e-09,8.816758989560469e-10,-6.969581578530892e-10
105.2,0.38723887508304783,0.3961428586139253,0.39082899281500816,0.38723887613639496,0.39614285774581465,0.3908289934783838,-1.0533471317408782e-09,8.681106389296644e-10,-6.633756322038664e-10
105.4,0.38719102466543087,0.3960432359802484,0.3909764658663019,0.38719102573789654,0.3960432351264705,0.39097646649622636,-1.0724656718252845e-09,8.537778817263586e-10,-6.299244459384568e-10
105.60000000000001,0.3871475510544473,0.395941378181145,0.39112179727638885,0.38714755214512886,0.3959413773424452,0.3911217978730193,-1.0906815450795193e-09,8.386997762954707e-10,-5.96630467253334e-10
105.8,0.387108416749752,0.39583740934568296,0.3912649004165462,0.3871084178577437,0.3958374085227844,0.3912649009800654,-1.107991698390265e-09,8.228985826086443e-10,-5.635191757669133e-10
106.0,0.38707358121559154,0.3957314532824374,0.39140569201395226,0.3870735823399851,0.3957314524760404,0.3914056925445679,-1.1243935782445647e-09,8.063970047267333e-10,-5.306156625195513e-10
106.2,0.3870430009666252,0.39562363338016443,0.39154409216519154,0.38704300210651094,0.39562363259094646,0.391544092663136,-1.1398857413524865e-09,7.892179687551959e-10,-4.97944463440092e-10
106.4,0.3870166296547856,0.39551407251051546,0.39168002434668003,0.38701663080925275,0.39551407173913083,0.3916800248122098,-1.1544671330021572e-09,7.713846228440957e-10,-4.655297813904724e-10
106.60000000000001,0.38699441815708696,0.3954028929328408,0.39181341542205333,0.3869944193252249,0.39540289217992036,0.3918134158554482,-1.1681379197270303e-09,7.529204482104035e-10,-4.3339487554305833e-10
106.8,0.3869763146642916,0.3952902162011268,0.3919441956465627,0.38697631584519027,0.3952902154672777,0.39194419604812547,-1.1808986566386181e-09,7.338490926045438e-10,-4.0156278302561077e-10
107.0,0.38696226477034446,0.3951761630731095,0.3920722986685271,0.38696226596309535,0.39517616235891506,0.392072299038583,-1.1927508980491552e-09,7.14194425821546e-10,-3.700558748320759e-10
107.2,0.38695221156248694,0.3950608534216049,0.39219766152788915,0.3869522127661838,0.3950608527276244,0.3921976618667852,-1.2036968644046908e-09,6.939804841898933e-10,-3.388960223560389e-10
107.4,0.3869460957119626,0.3949444061480928,0.3923202246519257,0.38694609692570203,0.39494440547486137,0.39232022496003005,-1.213739442285089e-09,6.732314150603713e-10,-3.081043753461188e-10
107.60000000000001,0.3869438555652276,0.3948269390985892,0.3924399318481644,0.3869438567881098,0.3948269384466176,0.3924399321258661,-1.2228821844040283e-09,6.519715878283705e-10,-2.777016949728761e-10
107.8,0.38694542723557995,0.39470856898184015,0.3925567302945611,0.38694542846670954,0.3947085683516147,0.39255673054226914,-1.2311295871647587e-09,6.302254274004326e-10,-2.4770802076190535e-10
108.0,0.386950744695124,0.3945894112898661,0.39267057052699117,0.3869507459336108,0.3945894106818488,0.39267057074513384,-1.2384867575931935e-09,6.080173031719482e-10,-2.1814267059383496e-10
108.2,0.38695973986698523,0.39446958022088446,0.39278140642411147,0.3869597411119446,0.3944695796355126,0.39278140661313615,-1.2449593578267582e-09,5.85371862094064e-10,-1.890246847935373e-10
108.4,0.3869723427176938,0.39434918860463564,0.3928891951896517,0.3869723439682476,0.394349188042322,0.3928891953500238,-1.2505537716478443e-09,5.623136400956241e-10,-1.6037210448516248e-10
108.60000000000001,0.386988481349656,0.39422834783013366,0.3929938973321914,0.38698848260493307,0.39422834729126643,0.3929938974643939,-1.2552770489726583e-09,5.388672286166241e-10,-1.3220247119249962e-10
108.8,0.3870080820936335,0.39410716777586324,0.39309547664248445,0.3870080833527702,0.3941071672608059,0.3930954767470173,-1.2591366838066165e-09,5.150573301193617e-10,-1.0453282683897669e-10
109.0,0.3870310696011515,0.3939857567424389,0.39319390016839073,0.3870310708632928,0.39398575625153043,0.3931939002457702,-1.2621412803781595e-09,4.909084805326813e-10,-7.737949170305569e-11
109.2,0.3870573669367609,0.39386422138774285,0.3932891381874774,0.38705736820106035,0.39386422092129764,0.39328913823823547,-1.2642994429157284e-09,4.664452157854271e-10,-5.075806441823261e-11
109.4,0.3870868956700755,0.3937426666645536,0.393381164177352,0.3870868969356963,0.3937426662228616,0.3933811642020355,-1.2656208303596372e-09,4.41692016295292e-10,-2.4683477484188643e-11
109.60000000000001,0.38711957596751356,0.3936211957606763,0.3934699547837913,0.387119577233629,0.39362119534400297,0.39346995478296143,-1.2661154347171077e-09,4.1667330696881777e-10,8.298917109073045e-13
109.8,0.3871553266836689,0.39349991004158213,0.39355548978673016,0.38715532794946284,0.3934999096501688,0.3935554897609618,-1.2657939141291763e-09,3.914133461790925e-10,2.5768387423852346e-11
110.0,0.3871940654522414,0.39337890899556427,0.39363775206417545,0.38719406671690887,0.3933789086296279,0.39363775201405665,-1.2646674818483916e-09,3.6593639229920427e-10,5.011879800065344e-11
110.2,0.38723570877645724,0.39325829018141223,0.3937167275541117,0.38723571003920493,0.3932582898411458,0.39371672748024267,-1.2627476841942098e-09,3.4026642614648495e-10,7.386902201034218e-11
110.4,0.38728017211891086,0.39313814917860784,0.39379240521446246,0.3872801733789576,0.3931381488641806,0.3937924051174552,-1.2600467336199017e-09,3.1442726200481275e-10,9.70072355777063e-11
110.60000000000001,0.38732736999076306,0.3930185795400408,0.39386477698117733,0.38732737124734035,0.3930185792515982,0.39386477686165483,-1.256577286667948e-09,2.884426031357634e-10,1.1952250300595324e-10
110.8,0.3873772160402295,0.39289967274724247,0.3939338377245093,0.38737721729258207,0.3928996724849064,0.3939338375831049,-1.252352554992342e-09,2.6233604177861025e-10,1.4140438819865153e-10
111.0,0.3874296231402986,0.3927815181681309,0.39399958520355177,0.3874296243876847,0.3927815179320003,0.39399958504090843,-1.2473860833139838e-09,2.361306150611142e-10,1.626433432377894e-10
111.2,0.38748450347561514,0.3926642030172635,0.39406202001910245,0.3874845047173073,0.39266420280741393,0.3940620198358722,-1.24169213799874e-09,2.098495821556412e-10,1.832302642945649e-10
111.4,0.3875417686284734,0.3925478123185849,0.39412114556492284,0.38754176986375843,0.392547812135069,0.39412114536176596,-1.2352850409236282e-09,1.8351586916764973e-10,2.031568802074446e-10
111.60000000000001,0.38760132966385896,0.39243242887066093,0.39417696797746127,0.38760133089203846,0.3924324287135092,0.3941769677550458,-1.2281795025437248e-09,1.5715173606878352e-10,2.2241547492640734e-10
111.8,0.3876630972134853,0.39231813321438713,0.39422949608410873,0.3876630984338762,0.39231813308360747,0.3942294958431098,-1.2203908994479207e-09,1.3077966487529125e-10,2.409989430240955e-10
112.0,0.387726981558771,0.392205003603154,0.39427874135005603,0.3877269827707059,0.3922050034987324,0.3942787410911551,-1.2119348857808632e-09,1.0442163800306048e-10,2.5890090071811755e-10
112.2,0.3877928927127048,0.3920931159754557,0.3943247178238206,0.3877928939155323,0.3920931158973564,0.3943247175477047,-1.202827504265258e-09,7.809930480107141e-11,2.7611590791565277e-10
112.4,0.38786074050054814,0.3919825439299215,0.3943674420815115,0.387860741693633,0.39198254387808756,0.39436744178887284,-1.1930848531349625e-09,5.1833926040245615e-11,2.9263863554618297e-10
